ambito,tipo,texto,archivo
efg.pa,alerta,"No medir sobre la ropa, ni con dolor intenso, ejercicio reciente o café o alcohol en la última hora. Esperar 1 a 3 minutos entre tomas.",05h
efg.pa,alerta,Anciano con radial palpable pese a que el manguito ocluye la braquial: sospechar pseudohipertensión (el valor real es menor),05h
efg.fc,normal,"Adulto en reposo: 60 a 100 latidos por minuto, con una media de 70.",08c
efg.fc,normal,Recién nacido: 130 a 160 latidos por minuto. Lactante: 110 a 130. Niño: 80 a 120.,08c
efg.fc,interpretacion,"Más de 100 latidos por minuto: taquicardia (ejercicio, emociones, fiebre, hipertiroidismo, hipovolemia, shock)",05d
efg.fc,interpretacion,"Menos de 60 latidos por minuto: bradicardia (sueño, atletas, hipotiroidismo, betabloqueadores, digitálicos, bloqueo auriculoventricular)",05d
efg.fc,interpretacion,Por cada grado centígrado de fiebre sobre 37 °C la frecuencia aumenta 12 a 15 latidos por minuto (2018: 10 a 15),05d
efg.fc,interpretacion,Pulso lento de 30 a 40 latidos por minuto: sospechar bloqueo auriculoventricular total.,05d
efg.fc,alerta,Contar durante un minuto completo y comparar con la frecuencia auscultada: si el corazón late más que el pulso radial hay déficit de pulso.,08c
efg.fc,alerta,El déficit de pulso es típico de la fibrilación auricular y las extrasístoles: contar solo el pulso radial subestima la frecuencia real.,08c
efg.fc,normal,"Arritmia sinusal fisiológica: la frecuencia aumenta en la inspiración y disminuye en la espiración, frecuente en niños y jóvenes.",08c
efg.fr,normal,Adulto en reposo: 16 a 20 respiraciones por minuto.,05e
efg.fr,normal,Recién nacido: 40 a 45. Lactante: 25 a 35. Preescolar: 30. Escolar: 18 a 22 respiraciones por minuto.,07b
efg.fr,alerta,"Medir en reposo, observando el ascenso y descenso del tórax descubierto del paciente.",05e
efg.fr,interpretacion,"Más de 20 respiraciones por minuto con respiración superficial: taquipnea (fiebre, neumonía, edema agudo de pulmón, acidosis metabólica)",07b
efg.fr,interpretacion,"Menos de 16 respiraciones por minuto: bradipnea (sueño, atletas, barbitúricos u opiáceos, alcalosis metabólica, coma diabético)",07b
efg.fr,interpretacion,Polipnea: aumento de la frecuencia y de la profundidad. Apnea: paro respiratorio momentáneo de 15 a 20 segundos.,07b
efg.fr,interpretacion,La fiebre aumenta la frecuencia respiratoria en 4 a 5 respiraciones por minuto por cada grado.,07b
efg.fr,alerta,"Ritmo de Kussmaul (inspiración amplia y rápida, espiración ruidosa y profunda): acidosis metabólica, cetoacidosis diabética, uremia.",07b
efg.fr,alerta,"Cheyne-Stokes: amplitud creciente y luego decreciente con apnea de 10 a 60 segundos. Insuficiencia cardiaca, hipertensión endocraneana.",07b
efg.fr,alerta,"Respiración de Biot: apnea franca alternada con respiración anárquica e irregular, signo de compromiso cerebral grave.",07b
efg.temperatura,normal,"Axilar 36.5 °C, oral 37 °C, rectal 37.5 °C.",05e
efg.temperatura,normal,Valor normal general de 35 a 37 °C. Más baja en la mañana y hasta 37.2 °C por la tarde.,05e
efg.temperatura,alerta,La toma axilar requiere 5 minutos. La oral se altera si el paciente tomó hace poco bebidas frías o calientes.,05e
efg.temperatura,alerta,"En el anciano 37.5 °C ya puede ser anormal y sugerir infección grave, sobre todo con taquipnea, tos o malestar general.",05e
efg.temperatura,alerta,Los pacientes en shock y los ancianos pueden cursar solo con febrícula pese a una infección grave.,05e
efg.temperatura,interpretacion,Abdomen agudo: toma axilo-rectal. Una diferencia rectal mayor de la esperada (0.8 a 1 °C) orienta a inflamación intraabdominal.,05e
efg.temperatura,interpretacion,"Fiebre prolongada (más de una semana): tuberculosis, septicemia, malaria, endocarditis bacteriana, fiebre tifoidea.",05e
efg.temperatura,alerta,"La sensación subjetiva de fiebre (por ejemplo, los bochornos de la menopausia) debe confirmarse siempre con termómetro.",05e
efg.temperatura,normal,Alza fisiológica: ovulación (hasta 37.2 a 37.3 °C) y ejercicio muscular intenso o insolación (hasta 39 °C),05e
efg.sato2,normal,"La saturación de oxígeno se registra junto con peso, talla y frecuencias respiratoria y cardiaca en toda evaluación clínica.",05e
efg.sato2,normal,"A nivel del mar, la saturación de oxígeno normal es de 95 a 100 %.",fuera de notas
efg.sato2,alerta,"En altura (Puno, 3820 metros sobre el nivel del mar) la saturación basal es menor: interpretar según la altitud de residencia.",fuera de notas
efg.sato2,alerta,"Lectura falsa con manos frías, mala perfusión, movimiento o esmalte de uñas: verificar que la onda de pulso sea adecuada.",fuera de notas
efg.peso_talla,normal,"Peso ideal (regla de Broca): talla en centímetros menos 100, expresado en kilogramos. En la mujer se resta además un 5 %.",05c
efg.peso_talla,normal,Rango normal de peso: peso ideal más o menos 10 % (peso mínimo normal y peso máximo normal),05c
efg.peso_talla,normal,Índice de masa corporal: peso en kilogramos dividido entre la talla en metros al cuadrado.,05c
efg.peso_talla,normal,Recién nacido: 3200 gramos y 50 centímetros. Duplica su peso al quinto mes y lo triplica al año.,05c
efg.peso_talla,interpretacion,Talla menor de 1.50 metros: enanismo. Mayor de 1.90 metros en varones o de 1.80 metros en mujeres: gigantismo.,05c
efg.peso_talla,interpretacion,"Desnutrición (criterios de Gómez) según déficit de peso: primer grado más de 10 %, segundo más de 25 %, tercero más de 40 %.",05c
efg.peso_talla,interpretacion,"Caquexia: pérdida de peso extrema con compromiso del estado general (neoplasia maligna, tuberculosis avanzada, cirrosis hepática)",05c
efg.peso_talla,interpretacion,"Obesidad central (tórax y abdomen): se asocia a diabetes, hipertensión arterial e infarto. Periférica (caderas y nalgas): menor riesgo.",05c
efg.peso_talla,alerta,"Pesar siempre a la misma hora y con la misma ropa. En hospitalizados, antes del desayuno y en pijama.",05c
efg.peso_talla,alerta,"Las notas usan otra escala. Organización Mundial de la Salud: normal 18.5 a 24.9, sobrepeso 25 a 29.9, obesidad 30 o más.",fuera de notas
efg.glasgow,normal,Puntaje de 3 (sin ninguna respuesta) a 15 (paciente lúcido: ocular 4 + motora 6 + verbal 5),05a
efg.glasgow,normal,"Apertura ocular: espontánea 4, al sonido 3, al dolor 2, ninguna 1.",05a
efg.glasgow,normal,"Respuesta motora: obedece órdenes 6, localiza el dolor 5, flexión y retiro 4, flexión anormal 3, extensión 2, ninguna 1.",05a
efg.glasgow,normal,"Respuesta verbal: orientado 5, conversación confusa 4, palabras inapropiadas 3, sonidos incomprensibles 2, ninguna 1.",05a
efg.glasgow,interpretacion,"Flexión anormal (3 puntos motores) es decorticación. Extensión anormal (2 puntos) es decerebración, de peor pronóstico.",11e
efg.glasgow,interpretacion,"Clasificación del traumatismo craneoencefálico: 13 a 15 leve, 9 a 12 moderado, 8 o menos grave.",fuera de notas
efg.glasgow,alerta,Glasgow de 8 o menos: proteger la vía aérea y considerar la intubación.,fuera de notas
efg.glasgow,alerta,En coma: asegurar la vía aérea e inmovilizar la columna cervical antes de cualquier movilización.,11e
efg.eva,normal,La intensidad del dolor se mide con la escala visual análoga de 0 a 10.,11g
efg.eva,normal,"La intensidad también puede registrarse en escala nominal: leve, moderado o severo.",03b
efg.eva,interpretacion,"Quien consulta suele tener una intensidad mayor de 4. Con intensidad de 1 a 3, en general no acude al médico.",11g
efg.eva,interpretacion,"0 sin dolor, 1 a 3 dolor leve, 4 a 6 dolor moderado, 7 a 10 dolor severo.",fuera de notas
efg.eva,alerta,"En el adulto mayor el dolor es el quinto signo vital: indagarlo aunque no lo refiera, porque su presentación suele ser atípica.",03b
efg.eva,interpretacion,Un dolor visceral puede sentirse en una zona somática alejada del órgano enfermo (dolor referido),03b
efg.llenado_capilar,normal,Llenado capilar normal: menos de 2 segundos.,fuera de notas
efg.llenado_capilar,interpretacion,"Llenado capilar de más de 2 segundos: sugiere hipoperfusión periférica (deshidratación, shock)",fuera de notas
efg.llenado_capilar,alerta,Presionar el lecho ungueal unos 5 segundos con la mano a nivel del corazón. El ambiente frío lo prolonga falsamente.,fuera de notas
efg.llenado_capilar,interpretacion,"Hipotensión con pulso filiforme, taquicardia y signos de mala perfusión tisular orienta a shock.",05h
efg.conciencia,normal,Lúcido y alerta: estado normal de conciencia.,05a
efg.conciencia,normal,"Registrar la orientación en tiempo, espacio y persona.",02c
efg.conciencia,interpretacion,"Estado crepuscular: conciencia levemente disminuida. Confusional: respuestas inadecuadas, con poca atención y memoria.",05a
efg.conciencia,interpretacion,"Letargo o somnolencia: despierta y obedece órdenes al estimularlo, pero vuelve a dormirse si cesa el estímulo.",05a
efg.conciencia,interpretacion,"Delirio: dormido pero inquieto, confuso, con habla incoherente, no despierta con estímulos verbales.",05a
efg.conciencia,interpretacion,"Estupor: despierta solo con estímulos intensos y repetidos, y responde de forma inadecuada al dolor.",05a
efg.conciencia,interpretacion,"Coma grado I: atiende órdenes simples. Grado II: responde apenas al dolor enérgico, con los reflejos conservados.",05a
efg.conciencia,alerta,"Coma grado III: sin respuesta, arreflexia e incontinencia. Grado IV: apnea con respirador y silencio eléctrico cerebral.",05a
efg.conciencia,alerta,Pupilas puntiformes: lesión pontina u opioides. Midriasis sin reflejo fotomotor: disfunción mesencefálica.,11e
efg.conciencia,interpretacion,Coma con miosis y reflejo fotomotor conservado: sugiere coma metabólico o herniación central.,11e
efg.estado,normal,"Se registra como buen, regular o mal estado general, según cuánto ha comprometido la enfermedad al paciente.",05a
efg.estado,alerta,"Escribirlo completo, no con iniciales, porque tiene implicancia médico-legal.",05a
efg.estado,alerta,Un estado general deteriorado con pocos signos que lo justifiquen es una alerta para buscar la causa.,05a
efg.estado,normal,"La apreciación general incluye edad, estado general, lucidez, orientación, nutrición, hidratación, actitud y facies.",02c
efg.estado,normal,"Nutrición normal: peso, musculatura, panículo adiposo, desarrollo, piel, pelos y ojos dentro de límites normales.",05c
efg.estado,interpretacion,"Mal estado general con pérdida de peso extrema: caquexia, propia de enfermedades consuntivas avanzadas.",05c
ectoscopia,normal,"Hidratación normal: piel rosada, elástica y húmeda, mucosas húmedas, sin hundimiento ocular ni caída brusca de peso.",05b
ectoscopia,interpretacion,"Deshidratación: sed, piel seca, pliegue cutáneo positivo, mucosas secas, ojos hundidos, taquicardia e hipotensión postural.",05b
ectoscopia,interpretacion,"Deshidratación según el peso perdido: leve hasta 5 %, moderada de 5 a 10 %, grave más de 10 %.",05b
ectoscopia,alerta,En el anciano tomar el pliegue cutáneo en la región frontal o esternal: en el dorso de la mano da falsos positivos.,05b
ectoscopia,normal,"Biotipo según el ángulo de Charpy: longilíneo menor de 90°, normolíneo igual a 90°, brevilíneo mayor de 90°.",05b
ectoscopia,interpretacion,Decúbito activo: cambia de posición por voluntad propia. Decúbito pasivo: no puede moverse (adinámicos o comatosos),05a
ectoscopia,interpretacion,"Ortopnea (sentado o semisentado para aliviar la disnea): insuficiencia cardiaca, edema agudo de pulmón, asma, ascitis.",05a
ectoscopia,alerta,"Facies hipocrática (ojos hundidos, nariz afilada, sudor, palidez): shock inminente, típica de la peritonitis generalizada.",05k
ectoscopia,interpretacion,"Lenguaje: disfonía (laringe, voz ronca), disartria (músculos, voz lenta y monótona), disfasia (lesión cortical)",05a
ectoscopia,interpretacion,Asterixis (aleteo de las manos en extensión forzada): encefalopatía hepática o coma urémico.,05b
efr.edema,normal,"Signo de Godet o de la fóvea: presionar con el índice sobre un plano óseo (tibia, maléolo o sacro) y ver si queda depresión.",05g
efr.edema,normal,"Intensidad en cruces: de 1 cruz (leve) a 4 cruces (anasarca), según la profundidad de la fóvea.",05g
efr.edema,alerta,"Comprimir en forma firme y sostenida sobre la tibia o el sacro, nunca sobre la pantorrilla.",05g
efr.edema,interpretacion,El edema se detecta clínicamente desde unos 5 litros. Por debajo (pre-edema) solo se detecta por el peso.,05g
efr.edema,alerta,"Edema unilateral de miembro inferior: en 80 a 90 % se debe a trombosis venosa profunda, con riesgo de embolia pulmonar.",05g
efr.edema,interpretacion,"Cardiaco: vespertino, bilateral, ascendente, en zonas declives. Nefrótico: facial y palpebral matutino, luego generalizado.",05g
efr.edema,interpretacion,"Caliente, rojo y doloroso: inflamatorio (celulitis). Cianótico: cardiaco u obstrucción venosa. Pálido: renal o linfático.",05g
efr.edema,interpretacion,"Mixedema: edema no depresible (sin fóvea) en el dorso de pies, manos y párpados, con piel fría y áspera.",05g
efr.edema,interpretacion,"Consistencia blanda: edema reciente. Dura, en cáscara de naranja: edema crónico.",05g
efr.edema,alerta,"El edema de glotis, el edema cerebral y el edema agudo de pulmón son edemas localizados que pueden causar la muerte.",05g
efr.fuerza,normal,"Explorar por grupos musculares, contra resistencia y gravedad, comparando ambos lados y los grupos proximales y distales.",11b
efr.fuerza,normal,La fuerza se gradúa en una escala de 0 a 5.,11b
efr.fuerza,interpretacion,"0 sin contracción, 1 contracción sin movimiento, 2 movimiento sin gravedad, 3 vence la gravedad, 4 vence resistencia parcial, 5 normal.",fuera de notas
efr.fuerza,interpretacion,"Paresia: disminución de la fuerza. Plejía: pérdida completa. Mono, hemi, para o cuadri solo indican la extensión.",11b
efr.fuerza,interpretacion,"Motoneurona superior: hiperreflexia, Babinski, espasticidad (signo de la navaja), sin atrofia.",11b
efr.fuerza,interpretacion,"Motoneurona inferior: flacidez, hipotonía, atrofia (evidente tras la tercera semana), hiporreflexia y fasciculaciones.",11b
efr.fuerza,interpretacion,Debilidad fatigable con compromiso de pares craneales: unión neuromuscular (miastenia gravis),11b
efr.fuerza,interpretacion,"Debilidad proximal con reflejos y sensibilidad conservados, sin atrofia: enfermedad muscular.",11b
efr.fuerza,interpretacion,Rigidez en rueda dentada con la fuerza conservada: síndrome extrapiramidal (Parkinson),11e
efr.fuerza,alerta,Dificultad para levantarse de una silla o subir escaleras: debilidad proximal. Dificultad para abotonarse: debilidad distal.,11b
efr.rot,normal,"Paciente relajado, extremidad en posición intermedia, golpe suave y rápido sobre el tendón, comparando con el lado homólogo.",11b
efr.rot,normal,Escala de 2020: de 0 a 4 cruces. Entre el 3 y el 10 % de las personas sanas carece de uno o más reflejos sin ser patológico.,11b
efr.rot,normal,"Escala de 2018: 0 ausente, 1 muy débil, 2 ligeramente débil, 3 normal, 4 exaltado, 5 exaltado con posible clonus.",11b
efr.rot,interpretacion,"Escala habitual: 0 ausente, 1 cruz disminuido, 2 cruces normal, 3 cruces aumentado, 4 cruces con clonus.",fuera de notas
efr.rot,normal,"Bicipital: flexión del antebrazo. Rotuliano (L2 a L4): extensión de la pierna. Aquiliano (L5, S1 y S2): extensión del pie.",11b
efr.rot,alerta,"Si el reflejo no aparece, usar la maniobra de Jendrassik (enganchar los dedos y tirar) antes de declararlo ausente.",11b
efr.rot,interpretacion,"Hiperreflexia, clonus, Babinski y Hoffman: lesión de la vía piramidal (motoneurona superior)",11b
efr.rot,interpretacion,"Hiporreflexia o arreflexia con flacidez: motoneurona inferior (por ejemplo, Guillain-Barré)",11b
efr.rot,alerta,"Babinski (dorsiflexión del dedo gordo al estimular la planta del pie): hallazgo patológico, indica lesión de la vía piramidal.",11b
efr.rot,interpretacion,"Reflejo aumentado: menor umbral, mayor velocidad o rango, propagación a zonas vecinas o contracciones repetidas.",11b
efr.pulsos,normal,"Arteria radial de elección: palpar con los pulpejos del índice, medio y anular, con la mano en supinación.",05d
efr.pulsos,normal,"Pared arterial normal: lisa, blanda y elástica. En la arteriosclerosis es rígida y tortuosa (como tráquea de pollo)",05d
efr.pulsos,normal,"Amplitud normal mediana. Amplio en la insuficiencia aórtica, pequeño en la estenosis aórtica.",05d
efr.pulsos,normal,Palpar ambas radiales a la vez: deben ser iguales. La desigualdad orienta a aneurisma u obstrucción arterial.,05d
efr.pulsos,normal,"Sitios: carotídeo, braquial, radial, femoral, poplíteo, tibial posterior (detrás del maléolo medial) y pedio.",05d
efr.pulsos,alerta,"En el paro cardiorrespiratorio palpar la carótida o la femoral: si no se palpan, iniciar reanimación cardiopulmonar.",05d
efr.pulsos,alerta,Palpar la carótida con cuidado en ancianos: puede fragmentar ateromas o causar bradicardia y síncope.,05d
efr.pulsos,interpretacion,Pulso filiforme (apenas palpable): shock o paciente moribundo. Pulso celer o en martillo de agua: insuficiencia aórtica.,05d
efr.pulsos,interpretacion,"Pulso paradójico (caída sistólica de más de 10 mmHg en inspiración): derrame pericárdico, pericarditis constrictiva, asma.",05d
efr.pulsos,interpretacion,Pulso duro: hipertensión arterial. Blando (se colapsa fácil): sistólica menor de 90 mmHg. Alternante: insuficiencia cardiaca izquierda.,05d
efr.cardiovascular,normal,"Foco mitral: quinto espacio intercostal izquierdo, línea medioclavicular. Foco tricuspídeo: base del apéndice xifoides.",08c
efr.cardiovascular,normal,"Foco pulmonar: segundo espacio intercostal izquierdo, paraesternal. Foco aórtico: segundo espacio intercostal derecho, paraesternal.",08c
efr.cardiovascular,normal,Primer ruido (cierre mitral y tricúspide): coincide con el pulso carotídeo. Segundo ruido: cierre aórtico y pulmonar.,08c
efr.cardiovascular,normal,El tercer ruido se ausculta en el 30 % de los sanos. El cuarto ruido puede ser normal en niños y adultos jóvenes.,08c
efr.cardiovascular,interpretacion,"Tercer o cuarto ruido patológico (ritmo de galope, en tres tiempos): sospechar insuficiencia cardiaca.",08c
efr.cardiovascular,interpretacion,"Escala de Freeman-Levine: I muy débil, II débil, III moderado, IV fuerte, V fuertísimo, VI se oye sin apoyar el estetoscopio.",08d
efr.cardiovascular,interpretacion,Los soplos de grado IV a VI casi siempre se acompañan de frémito palpable.,08d
efr.cardiovascular,interpretacion,Soplo anémico: siempre sistólico y sin frémito. Holosistólico en foco mitral irradiado a la axila: insuficiencia mitral.,08d
efr.cardiovascular,alerta,Ingurgitación yugular visible con el paciente a 30 a 45 grados: presión elevada en la aurícula derecha (insuficiencia cardiaca derecha),08e
efr.cardiovascular,alerta,Un frote pericárdico (roce de cuero nuevo) que desaparece no indica mejoría: puede haberse instalado un derrame.,08d
efr.torax_auscultacion,normal,Murmullo vesicular: ruido suave (como aspirar al decir F) durante toda la inspiración y el inicio de la espiración.,07d
efr.torax_auscultacion,normal,"El murmullo vesicular está normalmente disminuido en la región precordial, el área hepática, el espacio de Traube y sobre mamas o músculos.",07d
efr.torax_auscultacion,normal,Respiración bronquial normal solo sobre laringe y tráquea. Fuera de esa zona es patológica (soplo tubárico),07d
efr.torax_auscultacion,normal,Relación inspiración:espiración normal de 1:2 a 1:1.5 (la espiración dura más). Se prolonga en el asma y en la enfermedad obstructiva.,07d
efr.torax_auscultacion,alerta,"Auscultar sentado, de arriba hacia abajo, comparando cada punto con su homólogo, incluidas las fosas supraclaviculares.",07d
efr.torax_auscultacion,interpretacion,"Crepitantes finos (final de la inspiración, no cambian con la tos): neumonía, edema agudo de pulmón, fibrosis pulmonar.",07d
efr.torax_auscultacion,interpretacion,"Subcrepitantes gruesos (burbujeo, cambian con la tos): bronquitis, bronconeumonía, bronquiectasias.",07d
efr.torax_auscultacion,interpretacion,"Sibilancias (agudas, más intensas en espiración, no cambian con la tos): asma. Roncus (graves, cambian con la tos): bronquitis.",07d
efr.torax_auscultacion,interpretacion,"Frote pleural (cuero nuevo, en ambos tiempos, no cambia con la tos, aumenta al presionar): pleuritis.",07d
efr.torax_auscultacion,alerta,"No pedir tos ni inspiración forzada si hay dolor torácico intenso, disnea acentuada o hemoptisis.",07d
efr.torax_percusion,normal,"Sonido normal del tórax sano: claro pulmonar o resonante, dado por el aire alveolar.",03b
efr.torax_percusion,normal,"Cara posterior: claro en el vértice, submate a nivel de la escápula y el hilio, y claro de nuevo en la base.",07c
efr.torax_percusion,normal,"Hemitórax derecho anterior: claro hasta el quinto espacio intercostal, donde empieza la matidez del hígado.",07c
efr.torax_percusion,normal,"Hemitórax izquierdo anterior: claro hasta el tercer espacio intercostal, luego submate (corazón) y timpánico en el espacio de Traube.",07c
efr.torax_percusion,normal,Los movimientos del tórax deben ser simétricos. El hemitórax enfermo se mueve menos que el sano.,07b
efr.torax_percusion,interpretacion,"Hipersonoridad (más intensa y grave que el claro normal): enfisema pulmonar, asma bronquial.",07c
efr.torax_percusion,interpretacion,"Timpanismo en el tórax (agudo, como un tambor): neumotórax.",07c
efr.torax_percusion,interpretacion,"Matidez o submatidez: condensación (neumonía), atelectasia o derrame pleural.",07c
efr.torax_percusion,interpretacion,"Vibraciones vocales (al decir treinta y tres) aumentadas: condensación. Disminuidas: derrame, neumotórax, atelectasia.",07c
efr.torax_percusion,alerta,"La obesidad, los músculos hipertrofiados, las mamas voluminosas o el edema de la pared dan sonidos falsamente mates o submates.",07c
efr.abdomen,normal,"Abdomen normal levemente convexo y simétrico: convexo en el niño, plano en el adulto joven, globuloso en el anciano.",09b
efr.abdomen,alerta,"Auscultar antes de palpar y percutir, porque tocar primero altera los ruidos hidroaéreos.",09b
efr.abdomen,normal,"Ruidos hidroaéreos normales: intensidad moderada, 4 a 5 por minuto (2018: 4 a 6)",09b
efr.abdomen,interpretacion,Ruidos aumentados y metálicos con dolor cólico: obstrucción mecánica. Silencio abdominal: íleo paralítico o peritonitis.,09b
efr.abdomen,normal,Hígado: el borde inferior no rebasa el reborde costal y no se palpa. Su límite superior se percute en el quinto espacio intercostal.,09b
efr.abdomen,normal,El bazo y la vesícula biliar no son palpables en el adulto normal. El espacio de Traube es normalmente timpánico.,09b
efr.abdomen,interpretacion,"Hepatomegalia bajo el reborde costal: pequeña hasta 2 traveses de dedo, mediana hasta 4, grande más de 4 o hasta el ombligo.",09b
efr.abdomen,interpretacion,Blumberg positivo (dolor al soltar bruscamente): irritación peritoneal. Murphy positivo (corta la inspiración): colecistitis.,09b
efr.abdomen,alerta,Defensa sostenida o abdomen en tabla: irritación peritoneal. La contractura por temor cede al tranquilizar al paciente.,09b
efr.abdomen,interpretacion,Ascitis: oleada positiva en gran volumen (más de 1500 mililitros). En volumen mediano (500 a 1500): matidez desplazable.,09b
funciones_biologicas,normal,"Balance hídrico normal: ingresos y pérdidas de unos 2500 mililitros al día (orina 1400, heces 100, pérdidas insensibles 1000)",05b
funciones_biologicas,interpretacion,Oliguria: menos de 400 mililitros de orina en 24 horas. Anuria: menos de 100 mililitros en 24 horas.,10a
funciones_biologicas,interpretacion,"Poliuria: más de 2000 mililitros de orina en 24 horas (diabetes descompensada, diabetes insípida, diuréticos)",10a
funciones_biologicas,interpretacion,Polaquiuria: micciones repetidas sin aumento del volumen total. Nicturia: aumento de las micciones nocturnas.,10a
funciones_biologicas,interpretacion,"Diarrea: deposiciones de menor consistencia, generalmente más frecuentes. Aguda si dura menos de un mes, crónica si dura más.",09a
funciones_biologicas,alerta,Una diarrea que también aparece de noche orienta a causa orgánica. La funcional respeta el sueño nocturno.,09a
funciones_biologicas,interpretacion,"Polifagia, polidipsia y poliuria, o intolerancia al frío, orientan a una causa endocrina en la revisión de sistemas.",02c
funciones_biologicas,alerta,"Pérdida de peso, fiebre, fatiga o sudoración nocturna en la revisión de sistemas obligan a buscar la causa.",02c
funciones_biologicas,normal,"Deposiciones normales: de 3 por día a 3 por semana, formadas y sin sangre ni moco.",fuera de notas
funciones_biologicas,normal,"Sueño del adulto: unas 7 a 8 horas. Apetito y sed conservados, sin cambios recientes.",fuera de notas
dx.sindromico,sindrome,"Síndrome febril: fiebre, escalofríos, cefalea, malestar general, anorexia, taquicardia, taquipnea, sequedad de mucosas, oliguria, sudoración, delirio en ancianos, convulsión en niños.",05e
dx.sindromico,sindrome,"Síndrome edematoso: aumento de volumen en miembros inferiores, párpados o región sacra, signo de Godet (fóvea) graduado de 1 a 4 cruces, oliguria. Anasarca si es generalizado.",05g
dx.sindromico,sindrome,"Síndrome de vena cava superior: edema en esclavina (cara, cuello, brazos), circulación colateral torácica, ingurgitación yugular, cianosis facial, cefalea, disnea, somnolencia.",05g
dx.sindromico,sindrome,"Síndrome pelagroide: dermatitis, diarrea y demencia (las tres D)",01
dx.sindromico,sindrome,"Síndrome coledociano: ictericia, prurito, hipocolia, acolia y coluria (orina color coca-cola)",01
dx.sindromico,sindrome,"Síndrome de condensación pulmonar: fiebre, tos mucopurulenta, disnea, dolor pleurítico. Expansibilidad disminuida, vibraciones vocales aumentadas, matidez, soplo tubárico, crepitantes.",07e
dx.sindromico,sindrome,"Síndrome de derrame pleural: disnea, dolor gravativo. Abombamiento, vibraciones vocales disminuidas o abolidas, matidez con curva de Damoiseau, murmullo vesicular abolido, soplo pleurítico.",07e
dx.sindromico,sindrome,"Síndrome de neumotórax: dolor pleurítico, tos seca y disnea súbitas. Abombamiento, vibraciones vocales abolidas, hipersonoridad o timpanismo, silencio respiratorio.",07e
dx.sindromico,sindrome,"Síndrome de atelectasia: disnea, tos seca, fiebre si es aguda. Retracción intercostal, vibraciones vocales disminuidas, matidez, murmullo abolido, mediastino atraído al lado enfermo.",07e
dx.sindromico,sindrome,"Síndrome cavitario (caverna o absceso): tos seca, hemoptisis. Expansibilidad disminuida, vibraciones vocales aumentadas, timpanismo o hipersonoridad, soplo cavitario.",07e
dx.sindromico,sindrome,"Síndrome enfisematoso: disnea progresiva, tos seca, cianosis y acropaquia tardías. Tórax en tonel, vibraciones vocales disminuidas, hipersonoridad, murmullo disminuido, espiración prolongada.",07e
dx.sindromico,sindrome,"Síndrome de congestión pulmonar: tos seca, disnea progresiva, ortopnea, disnea paroxística nocturna. Inspección y palpación normales, submatidez basal, crepitantes en bases, sibilancias.",07e
dx.sindromico,sindrome,"Pleuritis aguda: dolor pleurítico que aumenta con tos e inspiración, tos seca, disnea, fiebre. Expansibilidad y vibraciones vocales disminuidas, percusión normal o submate, frote pleural.",07e
dx.sindromico,sindrome,"Pleuritis crónica (paquipleuritis): dolor leve, disnea a grandes esfuerzos. Retracción del hemitórax, vibraciones vocales disminuidas, submatidez o matidez, murmullo vesicular disminuido.",07e
dx.sindromico,sindrome,"Cor pulmonale crónico: enfermedad pulmonar crónica con hipoxia e hipertensión pulmonar que produce hipertrofia del ventrículo derecho, con o sin insuficiencia cardíaca derecha.",07e
dx.sindromico,sindrome,"Insuficiencia respiratoria: cianosis y aleteo nasal, desenlace de enfermedad pulmonar crónica o aguda, se confirma con gasometría arterial.",07e
dx.sindromico,sindrome,"Bronquitis aguda: fiebre, malestar, dolor retroesternal, tos seca y luego mucoide. Examen normal o levemente disminuido, subcrepitantes en ambos campos, roncus y sibilancias tardíos.",07f
dx.sindromico,sindrome,"Bronquitis crónica: tos con expectoración mucopurulenta más de 3 meses al año por 2 años seguidos, matutina, disnea. Subcrepitantes bilaterales difusos, roncus y sibilancias.",07f
dx.sindromico,sindrome,"Síndrome bronquiectásico: broncorrea matutina de 400 a 600 ml al día, hemoptisis. Expansibilidad disminuida, percusión normal o submatidez localizada, subcrepitantes localizados.",07f
dx.sindromico,sindrome,"Obstrucción bronquial (asma): tos, disnea y sibilancias en crisis. Tórax en tonel si es avanzado, hipersonoridad, murmullo disminuido, espiración prolongada, roncus y sibilancias difusos.",07f
dx.sindromico,sindrome,"Bronconeumonía: fiebre, tos con expectoración purulenta, disnea, taquicardia, taquipnea, a veces cianosis. Inspección, palpación y percusión normales, subcrepitantes y crepitantes.",07f
dx.sindromico,sindrome,"Insuficiencia cardíaca izquierda: disnea de esfuerzo, ortopnea, disnea paroxística nocturna, tos hemoptoica. Choque de punta afuera y abajo, galope, crepitantes en bases, pulso pequeño.",08g
dx.sindromico,sindrome,"Insuficiencia cardíaca derecha: dolor en hipocondrio derecho, oliguria. Ingurgitación yugular, reflujo hepatoyugular, hepatomegalia congestiva, edema de miembros inferiores, ascitis.",08g
dx.sindromico,sindrome,"Insuficiencia cardíaca congestiva: síntomas izquierdos (disnea, ortopnea, crepitantes en bases) más signos derechos (ingurgitación yugular, hepatomegalia, edema) en el mismo paciente.",08g
dx.sindromico,sindrome,"Síndrome hipertensivo: presión arterial de 140/90 mmHg o más en 2 o más consultas, a menudo asintomático, cefalea occipital, zumbidos. Segundo ruido aórtico hiperfonético, fondo de ojo alterado.",08g
